pk_service_type;fk_package_type;serviceTypeCode;submitterNumber;submitterTypeId;minValue;maxValue;currentValue;visible;isCod;hasDeliveryPoints;labelText;name;reportname;palletteMinValue;palletteMaxValue;palletteCurrentValue;pallettePrefix;isPalletteType;fk_image_logo;paymentType;printLabel
594;1033;IT_BARTOLINI_HD;X;9103;1;9999999999;1;1;NULL;0;NULL;IT Bartolini HD;IT Bartolini HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
595;1033;IT_BARTOLINI_PP;X;9104;1;9999999999;1;1;NULL;1;NULL;IT Bartolini PP;IT Bartolini PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
596;1033;IT_HRPARCEL_HD;X;12154;1;9999999999;1;1;NULL;0;NULL;IT HR Parcel HD;IT HR Parcel HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
597;1033;LT_POST_BOX;X;18809;1;9999999999;1;1;NULL;1;NULL;LT Lithuanian Post Box;LT Lithuanian Post Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
598;1033;LT_POST_HD;X;18808;1;9999999999;1;1;NULL;0;NULL;LT Lithuanian Post HD;LT Lithuanian Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
599;1033;LV_LTPOST_HD;X;18807;1;9999999999;1;1;NULL;0;NULL;LV Lithuanian Post HD;LV Lithuanian Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
600;1033;RO_SAMEDAY_BOX;X;7455;1;9999999999;1;1;NULL;1;NULL;RO Sameday Box;RO Sameday Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
601;1033;SI_POST_BOX;X;19517;1;9999999999;1;1;NULL;1;NULL;SI Post Box;SI Post Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
602;1033;SI_POST_HD;X;19515;1;9999999999;1;1;NULL;0;NULL;SI Post HD;SI Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
603;1033;SI_POST_PP;X;19516;1;9999999999;1;1;NULL;1;NULL;SI Post PP;SI Post PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
604;1033;TR_FEDEX_HD_ECO;X;19327;1;9999999999;1;1;NULL;0;NULL;TR FedEx HD Economy;TR FedEx HD Economy;NULL;NULL;NULL;NULL;0;NULL;NULL;1
605;1033;TR_FEDEX_HD_PRI;X;19328;1;9999999999;1;1;NULL;0;NULL;TR FedEx HD Priority;TR FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
606;1033;BG_SAMEDAY_HD;X;26066;1;9999999999;1;1;NULL;0;NULL;BG Sameday HD;BG Sameday HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
607;1033;BG_SAMEDAY_BOX;X;26067;1;9999999999;1;1;NULL;1;NULL;BG Sameday Box;BG Sameday Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
608;1033;UK_ROYAL;X;1120;1;9999999999;1;1;NULL;0;NULL;Spojené království - Royal Mail;Royal Mail;NULL;NULL;NULL;NULL;0;NULL;NULL;1
609;1006;SI_EXPRESS_ONE_HD;X;25004;1;9999999999;1;1;NULL;0;NULL;SI Express One HD;SI Express One HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
610;1006;SI_EXPRESS_ONE_PP;X;25005;1;9999999999;1;1;NULL;1;NULL;SI Express One PP;SI Express One PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
611;1033;SI_EXPRESS_ONE_HD;X;25004;1;9999999999;1;1;NULL;0;NULL;SI Express One HD;SI Express One HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
612;1033;SI_EXPRESS_ONE_PP;X;25005;1;9999999999;1;1;NULL;1;NULL;SI Express One PP;SI Express One PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
613;1006;HU_MP_PP;X;4539;1;9999999999;1;1;NULL;1;NULL;Maďarská pošta PP;Maďarská pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
614;1006;HU_MP_BOX;X;29760;1;9999999999;1;1;NULL;1;NULL;Maďarská pošta Box;Maďarská pošta Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
615;1006;HU_EXPRESS_ONE_HD;X;3828;1;9999999999;1;1;NULL;0;NULL;HU Express One HD;HU Express One HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
616;1033;HU_MP_PP;X;4539;1;9999999999;1;1;NULL;1;NULL;Maďarská pošta PP;Maďarská pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
617;1033;HU_MP_BOX;X;29760;1;9999999999;1;1;NULL;1;NULL;Maďarská pošta Box;Maďarská pošta Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
618;1033;HU_EXPRESS_ONE_HD;X;3828;1;9999999999;1;1;NULL;0;NULL;HU Express One HD;HU Express One HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
619;1031;ZAS_PACZ_CZSK;X;021f807d-e7ba-4865-856a-16d4d52c79f6;1;1E+18;1;1;0;1;NULL;Allegro Automaty Paczkowe Zasilkovna (CZ > SK);Autom. Paczk. Zasilk. (CZ > SK);NULL;NULL;NULL;NULL;0;NULL;NULL;1
620;1031;ZAS_PACZ_CZSK_COD;X;121f807d-4cee-4369-a4c9-16d4d52c79f6;1;1E+18;1;1;1;1;NULL;Allegro Automaty Paczkowe Zasilkovna pobranie (CZ > SK);Autom. Paczk Zasilk. pobr. (CZ > SK);NULL;NULL;NULL;NULL;0;NULL;NULL;1
621;1031;ZAS_PUNKCIE_CZSK;X;04ffd90a-6891-4eee-a1a7-56b874a0e9ed;1;1E+18;1;1;0;1;NULL;Allegro Odbiór w Punkcie Zasilkovna (CZ > SK);Odbiór w Punkcie Zasilk. (CZ > SK);NULL;NULL;NULL;NULL;0;NULL;NULL;1
622;1031;ZAS_PUNKCIE_CZSK_COD;X;14ffd90a-6ed7-43cc-94a5-56b874a0e9ed;1;1E+18;1;1;1;1;NULL;Allegro Odbiór w Punkcie Zasilkovna (CZ > SK) pobranie;Odbiór w Punkcie Zasilk. pobr. (CZ > SK);NULL;NULL;NULL;NULL;0;NULL;NULL;1
623;1006;IT_POST_HD;X;29192;1;9999999999;1;1;NULL;0;NULL;IT Post HD;IT Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
624;1006;IT_POST_PP;X;29660;1;9999999999;1;1;NULL;1;NULL;IT Post PP;IT Post PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
625;1006;IT_POST_BOX;X;29661;1;9999999999;1;1;NULL;1;NULL;IT Post Box;IT Post Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
626;1006;IT_BARTOLINI_BOX;X;29678;1;9999999999;1;1;NULL;1;NULL;IT Bartolini Box;IT Bartolini Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
627;1033;IT_POST_HD;X;29192;1;9999999999;1;1;NULL;0;NULL;IT Post HD;IT Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
628;1033;IT_POST_PP;X;29660;1;9999999999;1;1;NULL;1;NULL;IT Post PP;IT Post PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
629;1033;IT_POST_BOX;X;29661;1;9999999999;1;1;NULL;1;NULL;IT Post Box;IT Post Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
630;1033;IT_BARTOLINI_BOX;X;29678;1;9999999999;1;1;NULL;1;NULL;IT Bartolini Box;IT Bartolini Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
631;1034;ZASILKOVNA;X;Z;1;9999999999;1;1;NULL;1;NULL;Zásilkovna - Výdejní místa;Zásilkovna - Výdejní místa;NULL;NULL;NULL;NULL;0;NULL;NULL;1
632;1034;CR_CP;X;13;1;9999999999;1;1;NULL;0;NULL;Česká pošta;Česká pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
633;1034;CR_DPD;X;633;1;9999999999;1;1;NULL;0;NULL;ČR - DPD;ČR - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
634;1034;CR_INTIME;X;153;1;9999999999;1;1;NULL;0;NULL;ČR - InTime;ČR - InTime;NULL;NULL;NULL;NULL;0;NULL;NULL;1
635;1034;CR_OVA;X;134;1;9999999999;1;1;NULL;0;NULL;Expresní doručení Ostrava;Expresní doručení Ostrava;NULL;NULL;NULL;NULL;0;NULL;NULL;1
636;1034;CR_BRN;X;26637;1;9999999999;1;1;NULL;0;NULL;Expresní doručení Brno;Expresní doručení Brno;NULL;NULL;NULL;NULL;0;NULL;NULL;1
637;1034;CR_PHA;X;18928;1;9999999999;1;1;NULL;0;NULL;Expresní doručení Praha;Expresní doručení Praha;NULL;NULL;NULL;NULL;0;NULL;NULL;1
638;1034;SK_BRA;X;132;1;9999999999;1;1;NULL;0;NULL;Expresné doručenie Bratislava;Expresné doručenie Bratislava;NULL;NULL;NULL;NULL;0;NULL;NULL;1
639;1034;SK_SP;X;16;1;9999999999;1;1;NULL;0;NULL;Slovenská pošta;Slovenská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
640;1034;SK_KURYR;X;149;1;9999999999;1;1;NULL;0;NULL;Slovensko - Kurýr;Slovensko - Kurýr;NULL;NULL;NULL;NULL;0;NULL;NULL;1
641;1034;SK_ADRESA;X;131;1;9999999999;1;1;NULL;0;NULL;Slovensko - Doručenie na adresu;Doručenie na adresu;NULL;NULL;NULL;NULL;0;NULL;NULL;1
642;1034;AT_RP;X;80;1;9999999999;1;1;NULL;0;NULL;Rakouská pošta;Rakouská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
643;1034;BG_DPD;X;1234;1;9999999999;1;1;NULL;0;NULL;Bulharsko - DPD;Bulharsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
644;1034;DE_NP;X;111;1;9999999999;1;1;NULL;0;NULL;Německá pošta;Německá pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
645;1034;HU_MP;X;763;1;9999999999;1;1;NULL;0;NULL;Maďarská pošta;Maďarská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
646;1034;HU_DPD;X;805;1;9999999999;1;1;NULL;0;NULL;Maďarsko - DPD;Maďarsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
647;1034;HU_TRANS;X;151;1;9999999999;1;1;NULL;0;NULL;Maďarsko - Transoflex;Maďarsko - Transoflex;NULL;NULL;NULL;NULL;0;NULL;NULL;1
648;1034;PL_PP;X;14052;1;9999999999;1;1;NULL;1;NULL;Polská pošta;Polská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
649;1034;PL_PP24H;X;1438;1;9999999999;1;1;NULL;0;NULL;Polská pošta 24h;Polská pošta 24h;NULL;NULL;NULL;NULL;0;NULL;NULL;1
650;1034;PL_DPD;X;1406;1;9999999999;1;1;NULL;0;NULL;Polsko - DPD;Polsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
651;1034;RO_DPD;X;836;1;9999999999;1;1;NULL;0;NULL;Rumunsko - DPD;Rumunsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
652;1034;RO_FAN;X;762;1;9999999999;1;1;NULL;0;NULL;Rumunsko - FAN;Rumunsko - FAN;NULL;NULL;NULL;NULL;0;NULL;NULL;1
653;1034;CR_ALL;X;106;1;9999999999;1;0;NULL;0;NULL;ČR - Nejlevnější doručení na adresu;Na adresu;NULL;NULL;NULL;NULL;0;NULL;NULL;1
654;1034;DE_HERMES;X;3946;1;9999999999;1;0;NULL;0;NULL;Německo - Hermes;Německo - Hermes;NULL;NULL;NULL;NULL;0;NULL;NULL;1
655;1034;FR_COLHOME;X;4309;1;9999999999;1;0;NULL;0;NULL;Francie - Colissimo Home;Colissimo Home;NULL;NULL;NULL;NULL;0;NULL;NULL;1
656;1034;GB_HERMES;X;3885;1;9999999999;1;0;NULL;0;NULL;Spojené království Hermes;Spojené království Hermes;NULL;NULL;NULL;NULL;0;NULL;NULL;1
657;1034;HU_BDS;X;4159;1;9999999999;1;0;NULL;0;NULL;Maďarsko - Best delivery solution;Maďarsko - Best delivery solution;NULL;NULL;NULL;NULL;0;NULL;NULL;1
658;1034;IT_GLS;X;2726;1;9999999999;1;0;NULL;0;NULL;Itálie - GLS;Itálie - GLS;NULL;NULL;NULL;NULL;0;NULL;NULL;1
659;1034;PL_BDS;X;4162;1;9999999999;1;0;NULL;0;NULL;Polsko - Best delivery solution;Polsko - Best delivery solution;NULL;NULL;NULL;NULL;0;NULL;NULL;1
660;1034;PL_INPOST;X;3603;1;9999999999;1;0;NULL;0;NULL;Polsko - InPost;Polsko - InPost;NULL;NULL;NULL;NULL;0;NULL;NULL;1
661;1034;PL_PACZ;X;3060;1;9999999999;1;0;NULL;1;NULL;Polsko - Paczkomaty;Polsko - Paczkomaty;NULL;NULL;NULL;NULL;0;NULL;NULL;1
662;1034;RO_BDS;X;4161;1;9999999999;1;0;NULL;0;NULL;Rumunsko - Best delivery solution;Rumunsko - Best delivery solution;NULL;NULL;NULL;NULL;0;NULL;NULL;1
663;1034;RO_CARGUS;X;590;1;9999999999;1;0;NULL;0;NULL;Rumunsko - Cargus;Rumunsko - Cargus;NULL;NULL;NULL;NULL;0;NULL;NULL;1
664;1034;SI_GLS;X;4174;1;9999999999;1;0;NULL;0;NULL;Slovinsko - GLS;Slovinsko - GLS;NULL;NULL;NULL;NULL;0;NULL;NULL;1
665;1034;UA_NP;X;3616;1;9999999999;1;0;NULL;1;NULL;Ukrajina - Nova Poshta;Ukrajina - Nova Poshta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
666;1034;UA_ROSAN;X;1160;1;9999999999;1;0;NULL;0;NULL;Ukrajina - Rosan;Ukrajina - Rosan;NULL;NULL;NULL;NULL;0;NULL;NULL;1
667;1034;AT_DPD;X;6830;1;9999999999;1;0;NULL;0;NULL;AT DPD HD;AT DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
668;1034;BE_POST_HD;X;7909;1;9999999999;1;0;NULL;0;NULL;BE Belgická pošta HD;BE Belgická pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
669;1034;BE_POST_PP;X;7910;1;9999999999;1;0;NULL;1;NULL;BE Belgická pošta PP;BE Belgická pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
670;1034;BG_ECONT_BOX;X;19470;1;9999999999;1;0;NULL;1;NULL;BG Econt Box;BG Econt Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
671;1034;BG_ECONT_HD;X;19469;1;9999999999;1;0;NULL;0;NULL;BG Econt HD;BG Econt HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
672;1034;BG_ECONT_PP;X;19471;1;9999999999;1;0;NULL;1;NULL;BG Econt PP;BG Econt PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
673;1034;BG_SPEEDY_HD;X;4015;1;9999999999;1;0;NULL;0;NULL;BG Speedy HD;BG Speedy HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
674;1034;BG_SPEEDY_PP;X;4017;1;9999999999;1;0;NULL;1;NULL;BG Speedy PP;BG Speedy PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
675;1034;DE_HERMES_HD;X;6373;1;9999999999;1;0;NULL;0;NULL;DE Hermes HD;DE Hermes HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
676;1034;DE_HERMES_PP;X;6828;1;9999999999;1;0;NULL;1;NULL;DE Hermes PP;DE Hermes PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
677;1034;DK_POST_HD;X;4993;1;9999999999;1;0;NULL;0;NULL;DK Post Nord HD;DK Post Nord HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
678;1034;DK_POST_PP;X;4994;1;9999999999;1;0;NULL;1;NULL;DK Post Nord PP;DK Post Nord PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
679;1034;EE_OMNIVA_BOX;X;5062;1;9999999999;1;0;NULL;1;NULL;EE Omniva Box;EE Omniva Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
680;1034;EE_OMNIVA_HD;X;5060;1;9999999999;1;0;NULL;0;NULL;EE Omniva HD;EE Omniva HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
681;1034;EE_OMNIVA_PP;X;5061;1;9999999999;1;0;NULL;1;NULL;EE Omniva PP;EE Omniva PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
682;1034;ES_CORREOS;X;4638;1;9999999999;1;0;NULL;0;NULL;ES Correos HD;ES Correos HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
683;1034;ES_MRW_HD;X;4653;1;9999999999;1;0;NULL;0;NULL;ES MRW HD;ES MRW HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
684;1034;ES_MRW_PP;X;4654;1;9999999999;1;0;NULL;1;NULL;ES MRW PP;ES MRW PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
685;1034;FI_POST_HD;X;4830;1;9999999999;1;0;NULL;0;NULL;FI Post Nord HD;FI Post Nord HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
686;1034;FI_POST_PP;X;4828;1;9999999999;1;0;NULL;1;NULL;FI Post Nord PP;FI Post Nord PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
687;1034;FR_COLIS_HD;X;16080;1;9999999999;1;0;NULL;0;NULL;FR Colis Privé HD;FR Colis Privé HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
688;1034;FR_COLIS_PP;X;4307;1;9999999999;1;0;NULL;1;NULL;FR Colissimo PP;FR Colissimo PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
689;1034;FR_MONDIAL_PP;X;12889;1;9999999999;1;0;NULL;1;NULL;FR Mondial PP;FR Mondial PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
690;1034;GB_ROYAL_24;X;4856;1;9999999999;1;0;NULL;0;NULL;GB Royal Mail 24 HD;GB Royal Mail 24 HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
691;1034;GB_ROYAL_48;X;4857;1;9999999999;1;0;NULL;0;NULL;GB Royal Mail 48 HD;GB Royal Mail 48 HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
692;1034;GR_ACS_HD;X;17465;1;9999999999;1;0;NULL;0;NULL;GR ACS HD;GR ACS HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
693;1034;GR_ACS_PP;X;17467;1;9999999999;1;0;NULL;1;NULL;GR ACS PP;GR ACS PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
694;1034;GR_TAXYDROMIKI;X;8847;1;9999999999;1;0;NULL;0;NULL;GR Taxydromiki;GR Taxydromiki;NULL;NULL;NULL;NULL;0;NULL;NULL;1
695;1034;HR_DPD;X;4646;1;9999999999;1;0;NULL;0;NULL;HR DPD HD;HR DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
696;1034;HR_POST_HD;X;4634;1;9999999999;1;0;NULL;0;NULL;HR Chorvatská pošta HD;HR Chorvatská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
697;1034;HR_POST_PP;X;4635;1;9999999999;1;0;NULL;1;NULL;HR Chorvatská pošta PP;HR Chorvatská pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
698;1034;CH_POST_HD;X;3294;1;9999999999;1;0;NULL;0;NULL;CH LI Švýcarská pošta HD;CH LI Švýcarská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
699;1034;CH_POST_PP;X;3870;1;9999999999;1;0;NULL;0;NULL;CH LI Švýcarská pošta prioritní HD;CH LI Švýcarská pošta prioritní HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
700;1034;IE_HERMES;X;4524;1;9999999999;1;0;NULL;0;NULL;IE Hermes HD;IE Hermes HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
701;1034;LT_OMNIVA_BOX;X;5066;1;9999999999;1;0;NULL;1;NULL;LT Omniva Box;LT Omniva Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
702;1034;LT_OMNIVA_HD;X;5065;1;9999999999;1;0;NULL;0;NULL;LT Omniva HD;LT Omniva HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
703;1034;LU_DPD;X;4834;1;9999999999;1;0;NULL;0;NULL;LU DPD HD;LU DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
704;1034;LU_POST_HD;X;8125;1;9999999999;1;0;NULL;0;NULL;LU Lucemburská pošta HD;LU Lucemburská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
705;1034;LV_OMNIVA_BOX;X;5064;1;9999999999;1;0;NULL;1;NULL;LV Omniva Box;LV Omniva Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
706;1034;LV_OMNIVA_HD;X;5063;1;9999999999;1;0;NULL;0;NULL;LV Omniva HD;LV Omniva HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
707;1034;NL_DHL_HD;X;8000;1;9999999999;1;0;NULL;0;NULL;NL DHL HD;NL DHL HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
708;1034;NL_DHL_PP;X;8001;1;9999999999;1;0;NULL;1;NULL;NL DHL PP;NL DHL PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
709;1034;NL_POST_HD;X;4329;1;9999999999;1;0;NULL;0;NULL;NL Nizozemská pošta HD;NL Nizozemská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
710;1034;PT_MRW_HD;X;4655;1;9999999999;1;0;NULL;0;NULL;PT MRW HD;PT MRW HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
711;1034;PT_MRW_PP;X;4656;1;9999999999;1;0;NULL;1;NULL;PT MRW PP;PT MRW PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
712;1034;RO_SAMEDAY;X;7397;1;9999999999;1;0;NULL;0;NULL;RO Sameday HD;RO Sameday HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
713;1034;RU_POST_RR_PP;X;5102;1;9999999999;1;0;NULL;0;NULL;RU Ruská pošta doporučený balík PP;RU Ruská pošta doporučený balík PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
714;1034;RU_POST_HD;X;5101;1;9999999999;1;0;NULL;0;NULL;RU Ruská pošta EMS HD;RU Ruská pošta EMS HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
715;1034;RU_POST_PP;X;4559;1;9999999999;1;0;NULL;0;NULL;RU Ruská pošta PP;RU Ruská pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
716;1034;SE_POST_HD;X;4827;1;9999999999;1;0;NULL;0;NULL;SE Post Nord HD;SE Post Nord HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
717;1034;SE_POST_PP;X;4826;1;9999999999;1;0;NULL;1;NULL;SE Post Nord PP;SE Post Nord PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
718;1034;SI_DPD_HD;X;4949;1;9999999999;1;0;NULL;0;NULL;SI DPD HD;SI DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
719;1034;SI_DPD_PP;X;4950;1;9999999999;1;0;NULL;1;NULL;SI DPD PP;SI DPD PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
720;1034;US_FEDEX_ECO;X;19326;1;9999999999;1;0;NULL;0;NULL;US FedEx HD Economy;US FedEx HD Economy;NULL;NULL;NULL;NULL;0;NULL;NULL;1
721;1034;US_FEDEX_PRI;X;19325;1;9999999999;1;0;NULL;0;NULL;US Fedex HD Priority;US Fedex HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
722;1034;DE_BDS;X;13613;1;9999999999;1;1;NULL;0;NULL;DE Doručení na adresu HD;DE Doručení na adresu HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
723;1034;HR_OVERSEAS_HD;X;10618;1;9999999999;1;1;NULL;0;NULL;HR Overseas HD;HR Overseas HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
724;1034;HR_OVERSEAS_PP;X;10619;1;9999999999;1;1;NULL;1;NULL;HR Overseas PP;HR Overseas PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
725;1034;AE_ARAMEX_HD;X;10693;1;9999999999;1;1;NULL;0;NULL;AE Aramex HD;AE Aramex HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
726;1034;BE_NLPOST_HD;X;4832;1;9999999999;1;1;NULL;0;NULL;BE Nizozemská pošta HD;BE Nizozemská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
727;1034;BG_HD;X;23603;1;9999999999;1;1;NULL;0;NULL;BG Home Delivery HD;BG Home Delivery HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
728;1034;EE_LTPOST_HD;X;18805;1;9999999999;1;1;NULL;0;NULL;EE Lithuanian Post HD;EE Lithuanian Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
729;1034;GB_FEDEX_HD_CONN;X;24808;1;9999999999;1;1;NULL;0;NULL;GB FedEx HD Connect Plus;GB FedEx HD Connect Plus;NULL;NULL;NULL;NULL;0;NULL;NULL;1
730;1034;GB_FEDEX_HD_PRI;X;24809;1;9999999999;1;1;NULL;0;NULL;GB FedEx HD Priority;GB FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
731;1034;GR_BOXNOW_BOX;X;20409;1;9999999999;1;1;NULL;1;NULL;GR BoxNow Box;GR BoxNow Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
732;1034;GR_SPEEDEX_HD;X;12235;1;9999999999;1;1;NULL;0;NULL;GR Speedex HD;GR Speedex HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
733;1034;IE_FASTWAY_HD;X;9990;1;9999999999;1;1;NULL;0;NULL;IE Fastway HD;IE Fastway HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
734;1034;IE_FEDEX_HD_CONN;X;24810;1;9999999999;1;1;NULL;0;NULL;IE FedEx HD Connect Plus;IE FedEx HD Connect Plus;NULL;NULL;NULL;NULL;0;NULL;NULL;1
735;1034;IE_FEDEX_HD_PRI;X;24811;1;9999999999;1;1;NULL;0;NULL;IE FedEx HD Priority;IE FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
736;1034;IL_FEDEX_HD_ECO;X;19330;1;9999999999;1;1;NULL;0;NULL;IL FedEx HD Economy;IL FedEx HD Economy;NULL;NULL;NULL;NULL;0;NULL;NULL;1
737;1034;IL_FEDEX_HD_PRI;X;19329;1;9999999999;1;1;NULL;0;NULL;IL FedEx HD Priority;IL FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
738;1034;IT_BARTOLINI_HD;X;9103;1;9999999999;1;1;NULL;0;NULL;IT Bartolini HD;IT Bartolini HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
739;1034;IT_BARTOLINI_PP;X;9104;1;9999999999;1;1;NULL;1;NULL;IT Bartolini PP;IT Bartolini PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
740;1034;IT_HRPARCEL_HD;X;12154;1;9999999999;1;1;NULL;0;NULL;IT HR Parcel HD;IT HR Parcel HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
741;1034;LT_POST_BOX;X;18809;1;9999999999;1;1;NULL;1;NULL;LT Lithuanian Post Box;LT Lithuanian Post Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
742;1034;LT_POST_HD;X;18808;1;9999999999;1;1;NULL;0;NULL;LT Lithuanian Post HD;LT Lithuanian Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
743;1034;LV_LTPOST_HD;X;18807;1;9999999999;1;1;NULL;0;NULL;LV Lithuanian Post HD;LV Lithuanian Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
