pk_service_type;fk_package_type;serviceTypeCode;submitterNumber;submitterTypeId;minValue;maxValue;currentValue;visible;isCod;hasDeliveryPoints;labelText;name;reportname;palletteMinValue;palletteMaxValue;palletteCurrentValue;pallettePrefix;isPalletteType;fk_image_logo;paymentType;printLabel
488;1033;CR_CP;X;13;1;9999999999;1;1;NULL;0;NULL;Česká pošta;Česká pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
489;1033;CR_DPD;X;633;1;9999999999;1;1;NULL;0;NULL;ČR - DPD;ČR - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
490;1033;CR_INTIME;X;153;1;9999999999;1;1;NULL;0;NULL;ČR - InTime;ČR - InTime;NULL;NULL;NULL;NULL;0;NULL;NULL;1
491;1033;CR_OVA;X;134;1;9999999999;1;1;NULL;0;NULL;Expresní doručení Ostrava;Expresní doručení Ostrava;NULL;NULL;NULL;NULL;0;NULL;NULL;1
492;1033;CR_BRN;X;26637;1;9999999999;1;1;NULL;0;NULL;Expresní doručení Brno;Expresní doručení Brno;NULL;NULL;NULL;NULL;0;NULL;NULL;1
493;1033;CR_PHA;X;18928;1;9999999999;1;1;NULL;0;NULL;Expresní doručení Praha;Expresní doručení Praha;NULL;NULL;NULL;NULL;0;NULL;NULL;1
494;1033;SK_BRA;X;132;1;9999999999;1;1;NULL;0;NULL;Expresné doručenie Bratislava;Expresné doručenie Bratislava;NULL;NULL;NULL;NULL;0;NULL;NULL;1
495;1033;SK_SP;X;16;1;9999999999;1;1;NULL;0;NULL;Slovenská pošta;Slovenská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
496;1033;SK_KURYR;X;149;1;9999999999;1;1;NULL;0;NULL;Slovensko - Kurýr;Slovensko - Kurýr;NULL;NULL;NULL;NULL;0;NULL;NULL;1
497;1033;SK_ADRESA;X;131;1;9999999999;1;1;NULL;0;NULL;Slovensko - Doručenie na adresu;Doručenie na adresu;NULL;NULL;NULL;NULL;0;NULL;NULL;1
498;1033;AT_RP;X;80;1;9999999999;1;1;NULL;0;NULL;Rakouská pošta;Rakouská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
499;1033;BG_DPD;X;1234;1;9999999999;1;1;NULL;0;NULL;Bulharsko - DPD;Bulharsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
500;1033;DE_NP;X;111;1;9999999999;1;1;NULL;0;NULL;Německá pošta;Německá pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
501;1033;HU_MP;X;763;1;9999999999;1;1;NULL;0;NULL;Maďarská pošta;Maďarská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
502;1033;HU_DPD;X;805;1;9999999999;1;1;NULL;0;NULL;Maďarsko - DPD;Maďarsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
503;1033;HU_TRANS;X;151;1;9999999999;1;1;NULL;0;NULL;Maďarsko - Transoflex;Maďarsko - Transoflex;NULL;NULL;NULL;NULL;0;NULL;NULL;1
504;1033;PL_PP;X;14052;1;9999999999;1;1;NULL;1;NULL;Polská pošta;Polská pošta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
505;1033;PL_PP24H;X;1438;1;9999999999;1;1;NULL;0;NULL;Polská pošta 24h;Polská pošta 24h;NULL;NULL;NULL;NULL;0;NULL;NULL;1
506;1033;PL_DPD;X;1406;1;9999999999;1;1;NULL;0;NULL;Polsko - DPD;Polsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
507;1033;RO_DPD;X;836;1;9999999999;1;1;NULL;0;NULL;Rumunsko - DPD;Rumunsko - DPD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
508;1033;RO_FAN;X;762;1;9999999999;1;1;NULL;0;NULL;Rumunsko - FAN;Rumunsko - FAN;NULL;NULL;NULL;NULL;0;NULL;NULL;1
509;1033;CR_ALL;X;106;1;9999999999;1;0;NULL;0;NULL;ČR - Nejlevnější doručení na adresu;Na adresu;NULL;NULL;NULL;NULL;0;NULL;NULL;1
510;1033;DE_HERMES;X;3946;1;9999999999;1;0;NULL;0;NULL;Německo - Hermes;Německo - Hermes;NULL;NULL;NULL;NULL;0;NULL;NULL;1
511;1033;FR_COLHOME;X;4309;1;9999999999;1;0;NULL;0;NULL;Francie - Colissimo Home;Colissimo Home;NULL;NULL;NULL;NULL;0;NULL;NULL;1
512;1033;GB_HERMES;X;3885;1;9999999999;1;0;NULL;0;NULL;Spojené království Hermes;Spojené království Hermes;NULL;NULL;NULL;NULL;0;NULL;NULL;1
513;1033;HU_BDS;X;4159;1;9999999999;1;0;NULL;0;NULL;Maďarsko - Best delivery solution;Maďarsko - Best delivery solution;NULL;NULL;NULL;NULL;0;NULL;NULL;1
514;1033;IT_GLS;X;2726;1;9999999999;1;0;NULL;0;NULL;Itálie - GLS;Itálie - GLS;NULL;NULL;NULL;NULL;0;NULL;NULL;1
515;1033;PL_BDS;X;4162;1;9999999999;1;0;NULL;0;NULL;Polsko - Best delivery solution;Polsko - Best delivery solution;NULL;NULL;NULL;NULL;0;NULL;NULL;1
516;1033;PL_INPOST;X;3603;1;9999999999;1;0;NULL;0;NULL;Polsko - InPost;Polsko - InPost;NULL;NULL;NULL;NULL;0;NULL;NULL;1
517;1033;PL_PACZ;X;3060;1;9999999999;1;0;NULL;1;NULL;Polsko - Paczkomaty;Polsko - Paczkomaty;NULL;NULL;NULL;NULL;0;NULL;NULL;1
518;1033;RO_BDS;X;4161;1;9999999999;1;0;NULL;0;NULL;Rumunsko - Best delivery solution;Rumunsko - Best delivery solution;NULL;NULL;NULL;NULL;0;NULL;NULL;1
519;1033;RO_CARGUS;X;590;1;9999999999;1;0;NULL;0;NULL;Rumunsko - Cargus;Rumunsko - Cargus;NULL;NULL;NULL;NULL;0;NULL;NULL;1
520;1033;SI_GLS;X;4174;1;9999999999;1;0;NULL;0;NULL;Slovinsko - GLS;Slovinsko - GLS;NULL;NULL;NULL;NULL;0;NULL;NULL;1
521;1033;UA_NP;X;3616;1;9999999999;1;0;NULL;1;NULL;Ukrajina - Nova Poshta;Ukrajina - Nova Poshta;NULL;NULL;NULL;NULL;0;NULL;NULL;1
522;1033;UA_ROSAN;X;1160;1;9999999999;1;0;NULL;0;NULL;Ukrajina - Rosan;Ukrajina - Rosan;NULL;NULL;NULL;NULL;0;NULL;NULL;1
523;1033;AT_DPD;X;6830;1;9999999999;1;0;NULL;0;NULL;AT DPD HD;AT DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
524;1033;BE_POST_HD;X;7909;1;9999999999;1;0;NULL;0;NULL;BE Belgická pošta HD;BE Belgická pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
525;1033;BE_POST_PP;X;7910;1;9999999999;1;0;NULL;1;NULL;BE Belgická pošta PP;BE Belgická pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
526;1033;BG_ECONT_BOX;X;19470;1;9999999999;1;0;NULL;1;NULL;BG Econt Box;BG Econt Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
527;1033;BG_ECONT_HD;X;19469;1;9999999999;1;0;NULL;0;NULL;BG Econt HD;BG Econt HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
528;1033;BG_ECONT_PP;X;19471;1;9999999999;1;0;NULL;1;NULL;BG Econt PP;BG Econt PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
